"","x"
"1234",325
"1235",196
"1236",565
"1237",278
"1238",130
"1239",369
"1240",76
"1241",406
"1242",172
"1243",586
"1244",537
"1245",81
"1246",172
"1247",555
"1248",360
"1249",207
"1250",239
"1251",298
"1252",218
"1253",260
"1254",329
"1255",243
"1256",230
"1257",316
"1258",141
"1259",94
"1260",64
"1261",163
"1262",234
"1263",127
"1264",258
"1265",119
"1266",286
"1267",167
"1268",196
"1269",205
"1270",267
"1271",90
"1272",272
"1273",375
"1274",177
"1275",327
"1276",19
"1277",299
"1278",716
"1279",459
"1280",147
"1281",145
"1282",267
"1283",149
"1284",238
"1285",198
"1286",261
"1287",257
"1288",337
"1289",271
"1290",199
"1291",329
"1292",193
"1293",220
"1294",237
"1295",459
"1296",290
"1297",226
"1298",227
"1299",241
"1300",354
"1301",198
"1302",175
"1303",145
"1304",92
"1305",200
"1306",159
"1307",87
"1308",388
"1309",157
"1310",139
"1311",82
"1312",159
"1313",270
"1314",98
"1315",106
"1316",182
"1317",159
"1318",226
"1319",129
"1320",73
"1321",120
"1322",76
"1323",290
"1324",32
"1325",68
"1326",169
"1327",94
"1328",108
"1329",67
"1330",30
"1331",158
"1332",194
"1333",430
"1334",157
"1335",120
"1336",76
"1337",149
"1338",200
"1339",85
"1340",130
"1341",268
"1342",123
"1343",164
"1344",113
"1345",285
"1346",171
"1347",144
"1348",105
"1349",86
"1350",128
"1351",184
"1352",154
"1353",119
"1354",108
"1355",195
"1356",105
"1357",171
"1358",95
"1359",139
"1360",86
"1361",179
"1362",169
"1363",74
"1364",118
"1365",48
"1366",165
"1367",73
"1368",110
"1369",64
"1370",275
"1371",158
"1372",174
"1373",83
"1374",70
"1375",128
"1376",161
"1377",134
"1378",52
"1379",202
"1380",99
"1381",141
"1382",124
"1383",123
"1384",50
"1385",59
"1386",167
"1387",224
"1388",79
"1389",144
"1390",66
"1391",109
"1392",107
"1393",79
"1394",144
"1395",172
"1396",35
"1397",92
"1398",105
"1399",122
"1400",83
"1401",152
"1402",70
"1403",28
"1404",63
"1405",191
"1406",166
"1407",240
"1408",211
"1409",90
"1410",171
"1411",146
"1412",134
"1413",173
"1414",100
"1415",269
"1416",83
"1417",173
"1418",141
"1419",105
"1420",68
"1421",67
"1422",50
"1423",121
"1424",35
"1425",181
"1426",148
"1427",160
"1428",131
"1429",146
"1430",96
"1431",234
"1432",161
"1433",202
"1434",180
"1435",142
"1436",240
"1437",228
"1438",64
"1439",234
"1440",137
"1441",81
"1442",69
"1443",142
"1444",189
"1445",99
"1446",179
"1447",198
"1448",205
"1449",84
"1450",149
"1451",67
"1452",113
"1453",182
"1454",182
"1455",78
"1456",166
"1457",96
"1458",155
"1459",60
"1460",760
"1461",193
"1462",110
"1463",166
"1464",179
