"","x"
"1765",143
"1766",48
"1767",88
"1768",16
"1769",89
"1770",25
"1771",151
"1772",90
"1773",171
"1774",48
"1775",26
"1776",179
"1777",253
"1778",191
"1779",91
"1780",10
"1781",112
"1782",51
"1783",146
"1784",55
"1785",122
"1786",42
"1787",82
"1788",11
"1789",17
"1790",76
"1791",126
"1792",106
"1793",106
"1794",181
"1795",76
"1796",15
"1797",311
"1798",191
"1799",61
"1800",115
"1801",12
"1802",46
"1803",122
"1804",90
"1805",255
"1806",108
"1807",128
"1808",139
"1809",197
"1810",123
"1811",201
"1812",34
"1813",164
"1814",258
"1815",52
"1816",48
"1817",128
"1818",277
"1819",98
"1820",105
"1821",250
"1822",8
"1823",29
"1824",11
"1825",216
"1826",72
"1827",124
"1828",232
"1829",57
"1830",11
"1831",162
"1832",297
"1833",16
"1834",36
"1835",242
"1836",243
"1837",134
"1838",153
"1839",77
"1840",0
"1841",119
"1842",107
"1843",121
"1844",206
"1845",123
"1846",526
"1847",287
"1848",86
"1849",83
"1850",60
"1851",89
"1852",33
"1853",46
"1854",55
"1855",189
"1856",89
"1857",6
"1858",7
"1859",71
"1860",38
"1861",121
"1862",4
"1863",154
"1864",10
"1865",180
"1866",89
"1867",187
"1868",11
"1869",80
"1870",33
"1871",38
"1872",6
"1873",157
"1874",216
"1875",18
"1876",29
"1877",150
"1878",6
"1879",82
"1880",26
"1881",214
"1882",19
"1883",220
"1884",144
"1885",81
"1886",150
"1887",0
"1888",15
"1889",47
"1890",2
"1891",20
"1892",137
"1893",145
"1894",199
"1895",236
"1896",295
"1897",820
"1898",204
"1899",37
"1900",139
"1901",163
"1902",258
"1903",317
"1904",28
"1905",151
"1906",107
"1907",220
"1908",28
"1909",141
"1910",258
"1911",24
"1912",76
"1913",32
"1914",152
"1915",37
"1916",88
"1917",135
"1918",151
"1919",123
"1920",145
"1921",189
"1922",51
"1923",123
"1924",18
"1925",204
"1926",79
"1927",16
"1928",194
"1929",191
"1930",186
"1931",39
"1932",151
"1933",114
"1934",24
"1935",15
"1936",21
"1937",220
"1938",145
"1939",155
"1940",225
"1941",118
"1942",153
"1943",11
"1944",144
"1945",14
"1946",119
"1947",112
"1948",52
"1949",162
"1950",105
"1951",107
"1952",152
"1953",205
