"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic21","topic22","topic23","topic24","topic25","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"21","beep",0.00120324591267058,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,6.09894709995065e-05,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.52675950976833
"22","between",0.00240078923807732,4.10797398830871e-06,0.000119575436860652,3.00653319663629e-06,0.00250179760992162,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,0.000702416634941742,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,0.000311551106006426,0.000738249528340579,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,0.000234891062108634,0.00198062114251432,5.66254622053353e-06,3.6125993013233e-06,-8.52333674412754
"23","blame",0.00154540114850107,4.10797398830871e-06,2.57907804993564e-05,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,8.32172318727368e-05,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.88780936241502
"24","blue",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,0.00547305367871214,5.84239346926636e-05,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00111575829151958,0.000488090117866515,4.84242314854353e-05,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,0.00165188734292688,5.66254622053353e-06,3.6125993013233e-06,7.61219219382475
"25","boots",0.00171647876641632,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,0.000504549260086827,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,5.31583296686303e-05,4.4022028623123e-06,8.33845010953692e-05,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-8.03927999782085
"26","bored",0.00120324591267058,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,0.000369197489457072,0.000227324391907251,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.46702321633793e-05,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.52675950976833
"27","both",0.00165945289377791,4.10797398830871e-06,2.57907804993564e-05,0.00150627313151478,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,0.00048793827312747,0.000995922355638236,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,0.000841425420144179,0.00222846828534981,0.000962553417064631,0.000555965694182412,0.00259785161033186,3.87058318076785e-06,0.00325280508753335,5.72905029533254e-06,9.04017948865458e-05,5.66254622053353e-06,7.58645853277892e-05,-7.99053566396943
"28","break",0.00148837527586266,4.10797398830871e-06,0.000611944882757457,3.30718651629992e-05,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,7.17739251854704e-05,4.83257542442093e-06,0.000312556403224173,7.58040919048811e-06,5.2932738369354e-06,0.000900553196963849,9.11419170790839e-06,5.28213820954723e-05,3.87058318076785e-06,0.000328935345930339,5.72905029533254e-06,0.00156970389303002,0.000628542630479221,0.000184242564367488,-4.37413469899373
"29","broke",0.00148837527586266,4.10797398830871e-06,0.000330590913673568,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,0.000109199257445049,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,8.33845010953692e-05,0.000693418872638538,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,0.00019739974221916,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.83356631763103
"30","brother",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.30718651629992e-05,6.53676335133915e-05,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00131150536020723,0.00208284000792542,4.4022028623123e-06,0.000310796776810012,0.00339298852947559,0.00148955528792127,9.11419170790839e-06,0.00264587104860047,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,7.84539137011778
"31","brought",5.70258726384161e-06,0.000784623031766963,2.3446164090324e-06,3.00653319663629e-06,6.53676335133915e-05,5.84239346926636e-05,5.19996464024045e-06,0.000837219101902317,5.8981549498925e-05,0.000754323940523839,7.21662132222937e-06,0.001442003405999,4.83257542442093e-06,0.000356578431847296,7.58040919048811e-06,5.2932738369354e-06,0.000544051931384356,9.11419170790839e-06,0.000340938011707139,3.87058318076785e-06,0.000735028365597424,0.000120310056201983,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,7.98224223833028
"32","bus",0.00348428081820722,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,0.000356578431847296,7.58040919048811e-06,5.2932738369354e-06,0.000172050610779668,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,6.3019553248658e-05,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-9.06068889087988
"33","but",0.00422561716250663,0.000250586413286831,0.0265199562025655,0.0174709644056535,0.00612673001384605,0.00143935330015562,5.19996464024045e-06,5.5444973635915e-06,0.0144826513815087,0.0119483838408242,7.9382834544523e-05,0.000920011222831938,0.00314600660129803,0.00634357432459203,0.000462404960619774,0.00561616354098846,0.0140911000234051,9.11419170790839e-06,0.0118656031961738,3.87058318076785e-06,0.00690764226453711,0.00756807544013429,0.000172585244783406,5.66254622053353e-06,0.00683142527880235,-2.19943870096819
"34","call",0.00633557445012802,0.00012734719363757,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.84239346926636e-05,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,0.00137174211248285,7.21662132222937e-06,6.52490228958822e-06,0.00010148408391284,4.4022028623123e-06,7.58040919048811e-06,0.0034988540062143,0.000389051381132403,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,0.00113817179032724,3.6125993013233e-06,-9.92330342245024
"35","car",0.0247549313123364,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.70500605277149e-05,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,0.000148116571354255,-11.889472028314
"36","card",0.00262889272863098,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.95286951806485e-05,7.21662132222937e-06,0.00229024070364546,0.0014546052027507,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-0.198956041185923
"37","cards",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,0.000184217876265012,0.000111536602595085,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,0.000656712540322871,0.00379096823025075,0.00101967341455282,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,9.37673403234338
